day,week,hour,minute,request,maxReq20minutes,minReq20minutes,meanReq20minutes
1,6,0,0,903,903,903,903
1,6,0,5,801,801,801,801
1,6,0,10,726,726,726,726
1,6,0,15,846,846,846,846
1,6,0,20,957,903,726,819
1,6,0,25,1032,957,726,832.5
1,6,0,30,978,1032,726,890.25
1,6,0,35,1083,1032,846,953.25
1,6,0,40,957,1083,957,1012.5
1,6,0,45,615,1083,957,1012.5
1,6,0,50,939,1083,615,908.25
1,6,0,55,858,1083,615,898.5
1,6,1,0,723,957,615,842.25
1,6,1,5,759,939,615,783.75
1,6,1,10,768,939,723,819.75
1,6,1,15,642,858,723,777
1,6,1,20,801,768,642,723
1,6,1,25,594,801,642,742.5
1,6,1,30,702,801,594,701.25
1,6,1,35,825,801,594,684.75
1,6,1,40,972,825,594,730.5
1,6,1,45,738,972,594,773.25
1,6,1,50,738,972,702,809.25
1,6,1,55,750,972,738,818.25
1,6,2,0,771,972,738,799.5
1,6,2,5,648,771,738,749.25
1,6,2,10,672,771,648,726.75
1,6,2,15,510,771,648,710.25
1,6,2,20,534,771,510,650.25
1,6,2,25,570,672,510,591
1,6,2,30,462,672,510,571.5
1,6,2,35,537,570,462,519
1,6,2,40,603,570,462,525.75
1,6,2,45,402,603,462,543
1,6,2,50,477,603,402,501
1,6,2,55,618,603,402,504.75
1,6,3,0,402,618,402,525
1,6,3,5,624,618,402,474.75
1,6,3,10,477,624,402,530.25
1,6,3,15,429,624,402,530.25
1,6,3,20,345,624,402,483
1,6,3,25,486,624,345,468.75
1,6,3,30,429,486,345,434.25
1,6,3,35,324,486,345,422.25
1,6,3,40,441,486,324,396
1,6,3,45,432,486,324,420
1,6,3,50,312,441,324,406.5
1,6,3,55,501,441,312,377.25
1,6,4,0,429,501,312,421.5
1,6,4,5,282,501,312,418.5
1,6,4,10,516,501,282,381
1,6,4,15,291,516,282,432
1,6,4,20,396,516,282,379.5
1,6,4,25,264,516,282,371.25
1,6,4,30,489,516,264,366.75
1,6,4,35,414,489,264,360
1,6,4,40,312,489,264,390.75
1,6,4,45,315,489,264,369.75
1,6,4,50,315,489,312,382.5
1,6,4,55,423,414,312,339
1,6,5,0,336,423,312,341.25
1,6,5,5,243,423,315,347.25
1,6,5,10,273,423,243,329.25
1,6,5,15,240,423,243,318.75
1,6,5,20,342,336,240,273
1,6,5,25,411,342,240,274.5
1,6,5,30,321,411,240,316.5
1,6,5,35,303,411,240,328.5
1,6,5,40,384,411,303,344.25
1,6,5,45,438,411,303,354.75
1,6,5,50,321,438,303,361.5
1,6,5,55,417,438,303,361.5
1,6,6,0,381,438,321,390
1,6,6,5,501,438,321,389.25
1,6,6,10,237,501,321,405
1,6,6,15,273,501,237,384
1,6,6,20,453,501,237,348
1,6,6,25,462,501,237,366
1,6,6,30,474,462,237,356.25
1,6,6,35,432,474,273,415.5
1,6,6,40,345,474,432,455.25
1,6,6,45,375,474,345,428.25
1,6,6,50,441,474,345,406.5
1,6,6,55,210,441,345,398.25
1,6,7,0,258,441,210,342.75
1,6,7,5,240,441,210,321
1,6,7,10,405,441,210,287.25
1,6,7,15,273,405,210,278.25
1,6,7,20,327,405,240,294
1,6,7,25,375,405,240,311.25
1,6,7,30,438,405,273,345
1,6,7,35,327,438,273,353.25
1,6,7,40,543,438,327,366.75
1,6,7,45,354,543,327,420.75
1,6,7,50,636,543,327,415.5
1,6,7,55,495,636,327,465
1,6,8,0,600,636,354,507
1,6,8,5,276,636,354,521.25
1,6,8,10,408,636,276,501.75
1,6,8,15,492,600,276,444.75
1,6,8,20,699,600,276,444
1,6,8,25,615,699,276,468.75
1,6,8,30,420,699,408,553.5
1,6,8,35,459,699,420,556.5
1,6,8,40,492,699,420,548.25
1,6,8,45,513,615,420,496.5
1,6,8,50,444,513,420,471
1,6,8,55,363,513,444,477
1,6,9,0,276,513,363,453
1,6,9,5,456,513,276,399
1,6,9,10,330,456,276,384.75
1,6,9,15,432,456,276,356.25
1,6,9,20,570,456,276,373.5
1,6,9,25,666,570,330,447
1,6,9,30,612,666,330,499.5
1,6,9,35,597,666,432,570
1,6,9,40,501,666,570,611.25
1,6,9,45,627,666,501,594
1,6,9,50,576,627,501,584.25
1,6,9,55,645,627,501,575.25
1,6,10,0,567,645,501,587.25
1,6,10,5,870,645,567,603.75
1,6,10,10,729,870,567,664.5
1,6,10,15,633,870,567,702.75
1,6,10,20,648,870,567,699.75
1,6,10,25,687,870,633,720
1,6,10,30,792,729,633,674.25
1,6,10,35,867,792,633,690
1,6,10,40,699,867,648,748.5
1,6,10,45,837,867,687,761.25
1,6,10,50,1020,867,699,798.75
1,6,10,55,789,1020,699,855.75
1,6,11,0,1011,1020,699,836.25
1,6,11,5,960,1020,789,914.25
1,6,11,10,978,1020,789,945
1,6,11,15,1002,1011,789,934.5
1,6,11,20,1062,1011,960,987.75
1,6,11,25,750,1062,960,1000.5
1,6,11,30,747,1062,750,948
1,6,11,35,732,1062,747,890.25
1,6,11,40,675,1062,732,822.75
1,6,11,45,822,750,675,726
1,6,11,50,705,822,675,744
1,6,11,55,840,822,675,733.5
1,6,12,0,780,840,675,760.5
1,6,12,5,780,840,705,786.75
1,6,12,10,819,840,705,776.25
1,6,12,15,771,840,780,804.75
1,6,12,20,936,819,771,787.5
1,6,12,25,1215,936,771,826.5
1,6,12,30,594,1215,771,935.25
1,6,12,35,30,1215,594,879
1,6,12,40,3,1215,30,693.75
1,6,12,45,630,1215,3,460.5
1,6,12,50,906,630,3,314.25
1,6,12,55,843,906,3,392.25
1,6,13,0,870,906,3,595.5
1,6,13,5,825,906,630,812.25
1,6,13,10,663,906,825,861
1,6,13,15,846,870,663,800.25
1,6,13,20,867,870,663,801
1,6,13,25,774,867,663,800.25
1,6,13,30,570,867,663,787.5
1,6,13,35,597,867,570,764.25
1,6,13,40,531,867,570,702
1,6,13,45,915,774,531,618
1,6,13,50,963,915,531,653.25
1,6,13,55,837,963,531,751.5
1,6,14,0,747,963,531,811.5
1,6,14,5,783,963,747,865.5
1,6,14,10,702,963,747,832.5
1,6,14,15,882,837,702,767.25
1,6,14,20,630,882,702,778.5
1,6,14,25,603,882,630,749.25
1,6,14,30,582,882,603,704.25
1,6,14,35,819,882,582,674.25
1,6,14,40,936,819,582,658.5
1,6,14,45,801,936,582,735
1,6,14,50,861,936,582,784.5
1,6,14,55,1053,936,801,854.25
1,6,15,0,804,1053,801,912.75
1,6,15,5,669,1053,801,879.75
1,6,15,10,639,1053,669,846.75
1,6,15,15,768,1053,639,791.25
1,6,15,20,864,804,639,720
1,6,15,25,753,864,639,735
1,6,15,30,804,864,639,756
1,6,15,35,774,864,753,797.25
1,6,15,40,861,864,753,798.75
1,6,15,45,927,861,753,798
1,6,15,50,1095,927,774,841.5
1,6,15,55,858,1095,774,914.25
1,6,16,0,642,1095,858,935.25
1,6,16,5,807,1095,642,880.5
1,6,16,10,600,1095,642,850.5
1,6,16,15,864,858,600,726.75
1,6,16,20,660,864,600,728.25
1,6,16,25,534,864,600,732.75
1,6,16,30,765,864,534,664.5
1,6,16,35,948,864,534,705.75
1,6,16,40,894,948,534,726.75
1,6,16,45,1080,948,534,785.25
1,6,16,50,813,1080,765,921.75
1,6,16,55,966,1080,813,933.75
1,6,17,0,912,1080,813,938.25
1,6,17,5,933,1080,813,942.75
1,6,17,10,966,966,813,906
1,6,17,15,927,966,912,944.25
1,6,17,20,942,966,912,934.5
1,6,17,25,1053,966,927,942
1,6,17,30,1068,1053,927,972
1,6,17,35,786,1068,927,997.5
1,6,17,40,1236,1068,786,962.25
1,6,17,45,771,1236,786,1035.75
1,6,17,50,627,1236,771,965.25
1,6,17,55,792,1236,627,855
1,6,18,0,1158,1236,627,856.5
1,6,18,5,696,1158,627,837
1,6,18,10,774,1158,627,818.25
1,6,18,15,984,1158,696,855
1,6,18,20,759,1158,696,903
1,6,18,25,837,984,696,803.25
1,6,18,30,879,984,759,838.5
1,6,18,35,924,984,759,864.75
1,6,18,40,792,924,759,849.75
1,6,18,45,600,924,792,858
1,6,18,50,570,924,600,798.75
1,6,18,55,603,924,570,721.5
1,6,19,0,717,792,570,641.25
1,6,19,5,621,717,570,622.5
1,6,19,10,627,717,570,627.75
1,6,19,15,888,717,603,642
1,6,19,20,978,888,621,713.25
1,6,19,25,717,978,621,778.5
1,6,19,30,780,978,627,802.5
1,6,19,35,651,978,717,840.75
